機械名,メニュー名,メニュー分岐,悩み別,会員価格,正規価格,説明
肌診断機,肌診断,,肌診断,3300,3630,最新のカメラを用いて、肌の状態を詳細に分析する肌診断器です。シミ、しわ、毛穴など、様々な肌トラブルを数値化し、肌年齢を推定。肌治療前に測定することでベストな治療の提案に役立ちます。
カスタマイズHIFU,頬下・顎下 600shot,,たるみ,33000,36300,筋膜にアプローチして皮膚の内側から引き締まりが期待できるたるみ治療です。ひとりひとり脂肪や皮膚の厚みが違うため、当院ではお客様の状態に合わせたカスタマイズ HIFUを提案いたします。
カスタマイズHIFU,マッサージハイフ 20分,,たるみ,15000,16500,皮膚の表層に優しい熱を入れることでその場でむくみを軽減する効果が期待できます。コラーゲンの産生も促進されるので定期的な施術で美肌効果も期待できます。細身で頬のコケが気になる方にもおすすめのメニューです。
ウルトラフォーマー,全顔・首　,,たるみ,88000,96800,高密度焦点式超音波（HIFU）を真皮やSMAS層に照射することで、熱によるコラーゲン変性と収縮が起こり、肌のハリ感や輪郭の引き締まり感が期待されます。照射深度を部位に合わせて調整でき、個々の状態に応じたケアが可能です。
ウルトラフォーマー,頬・顎下,,たるみ,44000,48400,高密度焦点式超音波（HIFU）を真皮やSMAS層に照射することで、熱によるコラーゲン変性と収縮が起こり、肌のハリ感や輪郭の引き締まり感が期待されます。照射深度を部位に合わせて調整でき、個々の状態に応じたケアが可能です。
ウルトラフォーマー,顎下・首,,たるみ,44000,48400,高密度焦点式超音波（HIFU）を真皮やSMAS層に照射することで、熱によるコラーゲン変性と収縮が起こり、肌のハリ感や輪郭の引き締まり感が期待されます。照射深度を部位に合わせて調整でき、個々の状態に応じたケアが可能です。
ウルトラフォーマー,ハイフシャワー全顔,,たるみ,33000,36300,皮膚の表層に優しい熱を入れることでその場でむくみを軽減する効果が期待できます。コラーゲンの産生も促進されるので定期的な施術で美肌効果も期待できます。細身で頬のコケが気になる方にもおすすめのメニューです。
ウルトラフォーマー,"ボディMパーツ 背中上部、背中下部、二の腕（左右）、腰、臀部（バナナロール）、ふくらはぎ、腹部、ウエスト",,痩身,50000,,超音波の熱を利用した施術により、気になる部位の脂肪にアプローチし、ボディラインの引き締めを目指します。気になる二の腕やブラ肉、細かな部位へのアプローチが可能です。
ウルトラフォーマー,"ボディLパーツ 大腿前面・大腿後面・大腿内側（左右）",,痩身,65000,,超音波の熱を利用した施術により、気になる部位の脂肪にアプローチし、ボディラインの引き締めを目指します。気になる二の腕やブラ肉、細かな部位へのアプローチが可能です。
オンダリフト,頬,,たるみ,30000,33000,マイクロ波を真皮・皮下脂肪層に選択的照射することで、脂肪細胞とコラーゲンに同時にアプローチし、フェイスラインの引き締め効果とハリが期待できます。個人差はありますが、痛みが少ないのが特徴です。
オンダリフト,頬・顎下,,たるみ,42000,46200,マイクロ波を真皮・皮下脂肪層に選択的照射することで、脂肪細胞とコラーゲンに同時にアプローチし、フェイスラインの引き締め効果とハリが期待できます。個人差はありますが、痛みが少ないのが特徴です。
オンダリフト,"ボディMパーツ 背中上部、背中下部、二の腕（左右）、腰、臀部（バナナロール）、ふくらはぎ、腹部、ウエスト",,痩身,40000,44000,マイクロ波が皮下深部の脂肪細胞に熱エネルギーを注ぐことで、脂肪分解とセルライト改善が期待できます。冷却機構付きで肌表面への負担を軽減し、痛みに配慮した施術です。たるみ・凸凹改善と引き締め効果が期待できます。
オンダリフト,"ボディLパーツ 大腿前面・大腿後面・大腿内側（左右）",,痩身,55000,60500,マイクロ波が皮下深部の脂肪細胞に熱エネルギーを注ぐことで、脂肪分解とセルライト改善が期待できます。冷却機構付きで肌表面への負担を軽減し、痛みに配慮した施術です。たるみ・凸凹改善と引き締め効果が期待できます。
LDM,水玉リフティング,,たるみ,9900,10890,艶感やハリといった変化が期待できる、痛みを伴わない施術です。老化が進んだ肌の奥の細胞を肌への負担を考慮しながら刺激し、コラーゲンやヒアルロン酸の再配列を活性化に働きかけます。
LDM,エイジングケア,,ハリ・艶,9900,10890,1MHz／3MHz／10MHzといった周波数を部位や目的に応じて使い分けることで、真皮層への穏やかな刺激とマイクロマッサージ効果が得られ、肌のハリ・弾力・キメの整った印象を意識したケアが可能です。物理的刺激によって細胞間マトリックス環境を整えることで、肌の健やかなコンディション維持をサポートします
LDM,アトピー,,鎮静,9900,10890,トリプルオーバー周波数を用いて炎症やかゆみのある肌に優しく作用し、肌のコンディションを整えます。細胞外マトリックスに深く作用することで、肌の土台から健やかな状態へ導きます。
LDM,炎症ニキビ,,肌荒れ,9900,10890,トリプルオーバー周波数を用いて炎症やかゆみのある肌に優しく作用し、肌のコンディションを整えます。細胞外マトリックスに深く作用することで、肌の土台から健やかな状態へ導きます。
LDM,赤み,,鎮静,9900,10890,トリプルオーバー周波数を用いて炎症やかゆみのある肌に優しく作用し、肌のコンディションを整えます。細胞外マトリックスに深く作用することで、肌の土台から健やかな状態へ導きます。
LDM,超音波導入,成長因子パック導入,鎮静,12000,13200,成長因子を含むパックを組み合わせることで、乾燥やキメの乱れ、肌のコンディション低下が気になる方へ、整肌を目的としたトリートメントとして使用されています。
LDM,超音波導入,臍帯血幹細胞培養液導入（エクソソーム）,しわ,18000,19800,幹細胞由来エクソソームが損傷組織の修復を促し、抗炎症・抗酸化・細胞再生に働きかけます。ニキビ跡、赤み、加齢による肌力低下など、複合的なお悩みに効果が期待できる再生治療です。
LDM,超音波導入,スキンボトックス,ハリ・艶,15000,16500,ボツリヌストキシンが汗腺・皮脂腺の活動を抑制し、毛穴の開き・皮脂分泌・肌のテカリを軽減します。滑らかでマットな質感へ整え、メイクのりの良い陶器肌のような仕上がりが期待できます。自然な表情のまま肌質改善が可能です。
LDM,超音波導入,プラセンタ,ハリ・艶,12000,13200,アミノ酸やビタミン、ミネラルを豊富に含むプラセンタ製剤を、LDMの超音波振動によって肌深部へ導入する施術です。ハリ感や潤いを意識した肌ケアとして用いられ、年齢や乾燥による肌状態の変化が気になる方に適したメニューとなっています。
LDM,超音波導入,トラネキサム酸,しみ・肝斑,12000,13200,LDMのマイクロマッサージ作用により、肌に必要な成分を角質層まで届けやすくします。トラネキサム酸は肌のくすみ印象や色ムラが気になる方に用いられる成分で、LDMとの組み合わせにより、肌の明るさや均一感を意識したケアを行うことが可能です。
LDM,ヘアケア,,薄毛,,,頭皮の血流を促進し、細胞の再生力をサポート。抜け毛予防・育毛効果が期待される痛みの少ない頭皮ケアです。
LDM,bodyセルライト・拘縮改善,,痩身,16000,17600,ダウンタイム短縮にもオススメ◎最先端セルライト治療！超音波を用いてセルライトや脂肪吸引後の拘縮を分解します。痛みやダウンタイムも心配ありません。
LDM,body肌質改善,,ボディ,16000,17600,背中やデコルテを始めとするお体の肌トラブルに1MHz／3MHz／10MHzといった周波数を部位や目的に応じて使い分けることで、真皮層への穏やかな刺激とマイクロマッサージ効果が得られ、肌のハリ・弾力・キメの整った印象を意識したケアが可能です。物理的刺激によって細胞間マトリックス環境を整えることで、肌の健やかなコンディション維持をサポートします。
POTENZA,s16肝斑,,しみ・肝斑,計算中,#VALUE!,肝斑治療をお考えの方におすすめの施術です。お肌のメラノサイト自体に特定のRFエネルギーを与えることで、肝斑の原因となるメラニンの産生を抑制し、根本的な改善を目指します。本施術により、色素沈着や再発、白抜けのリスクに配慮した治療が可能です。また、赤ら顔や顔全体のくすみ・色素沈着の改善にも効果が期待できます。
